Date,Time,Open,High,Low,Close,Volume
2022.02.23,15:00,1.13376,1.13467,1.13363,1.13467,1649
2022.02.23,15:30,1.13470,1.13521,1.13447,1.13513,1710
2022.02.23,16:00,1.13514,1.13517,1.13375,1.13405,1942
2022.02.23,16:30,1.13405,1.13442,1.13296,1.13336,3257
2022.02.23,17:00,1.13338,1.13376,1.13215,1.13247,2934
2022.02.23,17:30,1.13244,1.13311,1.13206,1.13244,2955
2022.02.23,18:00,1.13243,1.13260,1.13057,1.13193,2891
2022.02.23,18:30,1.13192,1.13199,1.13102,1.13139,2150
2022.02.23,19:00,1.13140,1.13183,1.13125,1.13149,1498
2022.02.23,19:30,1.13148,1.13172,1.13075,1.13122,1299
2022.02.23,20:00,1.13121,1.13122,1.13043,1.13051,1160
2022.02.23,20:30,1.13053,1.13109,1.13035,1.13089,1382
2022.02.23,21:00,1.13089,1.13119,1.13065,1.13091,938
2022.02.23,21:30,1.13090,1.13101,1.13036,1.13078,985
2022.02.23,22:00,1.13075,1.13105,1.13043,1.13060,854
2022.02.23,22:30,1.13059,1.13066,1.13010,1.13051,947
2022.02.23,23:00,1.13052,1.13076,1.13027,1.13046,287
2022.02.23,23:30,1.13049,1.13076,1.13026,1.13075,444
2022.02.24,00:00,1.13100,1.13100,1.13022,1.13031,157
2022.02.24,00:30,1.13031,1.13056,1.13016,1.13023,197
2022.02.24,01:00,1.13023,1.13047,1.13003,1.13029,380
2022.02.24,01:30,1.13030,1.13086,1.13030,1.13053,285
2022.02.24,02:00,1.13054,1.13062,1.12917,1.12921,599
2022.02.24,02:30,1.12919,1.12944,1.12750,1.12760,843
2022.02.24,03:00,1.12761,1.12874,1.12761,1.12839,1372
2022.02.24,03:30,1.12838,1.12942,1.12817,1.12931,1410
2022.02.24,04:00,1.12929,1.12937,1.12814,1.12820,1171
2022.02.24,04:30,1.12821,1.12853,1.12649,1.12730,1979
2022.02.24,05:00,1.12729,1.12789,1.12562,1.12584,2706
2022.02.24,05:30,1.12585,1.12602,1.12346,1.12381,2927
2022.02.24,06:00,1.12380,1.12431,1.12085,1.12221,3153
2022.02.24,06:30,1.12220,1.12490,1.12180,1.12454,2984
2022.02.24,07:00,1.12455,1.12460,1.12270,1.12355,2748
2022.02.24,07:30,1.12355,1.12389,1.12208,1.12375,2509
2022.02.24,08:00,1.12376,1.12533,1.12375,1.12497,2391
2022.02.24,08:30,1.12498,1.12499,1.12321,1.12455,2071
2022.02.24,09:00,1.12451,1.12554,1.12359,1.12367,4984
2022.02.24,09:30,1.12364,1.12539,1.12351,1.12449,4999
2022.02.24,10:00,1.12450,1.12619,1.12428,1.12529,5695
2022.02.24,10:30,1.12528,1.12530,1.12329,1.12395,4301
2022.02.24,11:00,1.12395,1.12501,1.12388,1.12428,4030
2022.02.24,11:30,1.12430,1.12454,1.12089,1.12111,4349
2022.02.24,12:00,1.12110,1.12122,1.11804,1.11850,4800
2022.02.24,12:30,1.11851,1.11854,1.11631,1.11781,3964
2022.02.24,13:00,1.11779,1.11805,1.11549,1.11597,4301
2022.02.24,13:30,1.11598,1.11796,1.11554,1.11741,4368
2022.02.24,14:00,1.11739,1.11816,1.11615,1.11814,4266
2022.02.24,14:30,1.11810,1.11848,1.11650,1.11702,4263
2022.02.24,15:00,1.11701,1.11775,1.11610,1.11649,4477
2022.02.24,15:30,1.11649,1.11798,1.11526,1.11618,4790
2022.02.24,16:00,1.11619,1.11710,1.11462,1.11524,5190
2022.02.24,16:30,1.11496,1.11624,1.11440,1.11466,6333
2022.02.24,17:00,1.11468,1.11500,1.11305,1.11319,5425
2022.02.24,17:30,1.11317,1.11356,1.11081,1.11097,4486
2022.02.24,18:00,1.11090,1.11570,1.11061,1.11441,6772
2022.02.24,18:30,1.11443,1.11544,1.11358,1.11499,3710
2022.02.24,19:00,1.11499,1.11732,1.11406,1.11699,3942
2022.02.24,19:30,1.11699,1.11787,1.11623,1.11664,4122
2022.02.24,20:00,1.11663,1.11717,1.11597,1.11681,3141
2022.02.24,20:30,1.11681,1.12065,1.11658,1.11909,4636
2022.02.24,21:00,1.11906,1.12004,1.11841,1.11867,5671
2022.02.24,21:30,1.11865,1.12121,1.11850,1.11872,5237
2022.02.24,22:00,1.11869,1.12210,1.11842,1.12095,3597
2022.02.24,22:30,1.12097,1.12162,1.11988,1.11997,3825
2022.02.24,23:00,1.12002,1.12051,1.11939,1.11954,579
2022.02.24,23:30,1.11955,1.11972,1.11907,1.11907,429
2022.02.25,00:00,1.11902,1.11993,1.11897,1.11930,79
2022.02.25,00:30,1.11932,1.12014,1.11927,1.11961,385
2022.02.25,01:00,1.11964,1.12000,1.11929,1.11953,440
2022.02.25,01:30,1.11951,1.11952,1.11898,1.11904,500
2022.02.25,02:00,1.11905,1.12050,1.11863,1.12048,541
2022.02.25,02:30,1.12050,1.12094,1.11952,1.12015,926
2022.02.25,03:00,1.12014,1.12059,1.11897,1.11967,2442
2022.02.25,03:30,1.11968,1.12038,1.11930,1.12036,1966
2022.02.25,04:00,1.12035,1.12097,1.11987,1.12090,1068
2022.02.25,04:30,1.12089,1.12141,1.12019,1.12138,1124
2022.02.25,05:00,1.12137,1.12137,1.12053,1.12083,928
2022.02.25,05:30,1.12084,1.12178,1.12061,1.12173,1280
2022.02.25,06:00,1.12172,1.12266,1.12160,1.12266,810
2022.02.25,06:30,1.12265,1.12285,1.12167,1.12214,1072
2022.02.25,07:00,1.12215,1.12233,1.12143,1.12160,931
2022.02.25,07:30,1.12158,1.12256,1.12153,1.12253,727
2022.02.25,08:00,1.12254,1.12256,1.12152,1.12190,846
2022.02.25,08:30,1.12189,1.12190,1.12008,1.12020,1083
2022.02.25,09:00,1.12021,1.12132,1.11969,1.12100,2651
2022.02.25,09:30,1.12100,1.12220,1.12056,1.12101,3271
2022.02.25,10:00,1.12099,1.12151,1.11763,1.11787,4495
2022.02.25,10:30,1.11787,1.11858,1.11700,1.11773,3850
2022.02.25,11:00,1.11773,1.11880,1.11713,1.11751,3329
2022.02.25,11:30,1.11753,1.11843,1.11696,1.11811,2967
2022.02.25,12:00,1.11812,1.11831,1.11710,1.11742,2673
2022.02.25,12:30,1.11746,1.11801,1.11660,1.11800,2640
2022.02.25,13:00,1.11799,1.11836,1.11680,1.11761,2342
2022.02.25,13:30,1.11760,1.11869,1.11740,1.11853,2602
2022.02.25,14:00,1.11851,1.12187,1.11836,1.12075,2861
2022.02.25,14:30,1.12075,1.12369,1.12028,1.12212,4284
2022.02.25,15:00,1.12214,1.12290,1.12115,1.12278,4352
2022.02.25,15:30,1.12276,1.12413,1.12158,1.12364,4069
2022.02.25,16:00,1.12365,1.12385,1.12184,1.12220,3732
2022.02.25,16:30,1.12222,1.12496,1.12221,1.12319,4951
2022.02.25,17:00,1.12322,1.12493,1.12318,1.12422,5042
2022.02.25,17:30,1.12426,1.12509,1.12334,1.12440,4097
2022.02.25,18:00,1.12443,1.12669,1.12385,1.12578,3589
2022.02.25,18:30,1.12580,1.12646,1.12427,1.12588,2955
2022.02.25,19:00,1.12587,1.12619,1.12463,1.12483,2142
2022.02.25,19:30,1.12484,1.12486,1.12348,1.12403,2077
2022.02.25,20:00,1.12404,1.12523,1.12404,1.12517,1656
2022.02.25,20:30,1.12519,1.12604,1.12516,1.12566,1660
2022.02.25,21:00,1.12566,1.12607,1.12520,1.12596,1159
2022.02.25,21:30,1.12597,1.12657,1.12496,1.12634,1372
2022.02.25,22:00,1.12635,1.12686,1.12580,1.12610,1708
2022.02.25,22:30,1.12610,1.12710,1.12608,1.12656,2162
2022.02.28,00:00,1.11260,1.11595,1.11251,1.11499,977
2022.02.28,00:30,1.11496,1.11622,1.11468,1.11622,1547
2022.02.28,01:00,1.11599,1.11756,1.11504,1.11681,3678
2022.02.28,01:30,1.11680,1.11893,1.11657,1.11818,3300
2022.02.28,02:00,1.11818,1.11951,1.11791,1.11847,2573
2022.02.28,02:30,1.11848,1.11960,1.11812,1.11832,1777
2022.02.28,03:00,1.11833,1.11875,1.11679,1.11684,2992
2022.02.28,03:30,1.11685,1.11767,1.11593,1.11709,2478
2022.02.28,04:00,1.11710,1.11738,1.11620,1.11660,1585
2022.02.28,04:30,1.11661,1.11683,1.11461,1.11572,1998
2022.02.28,05:00,1.11571,1.11595,1.11490,1.11504,1474
2022.02.28,05:30,1.11505,1.11607,1.11505,1.11509,1086
2022.02.28,06:00,1.11511,1.11529,1.11444,1.11479,947
2022.02.28,06:30,1.11478,1.11490,1.11421,1.11456,1073
2022.02.28,07:00,1.11459,1.11515,1.11458,1.11483,945
2022.02.28,07:30,1.11482,1.11585,1.11446,1.11563,936
2022.02.28,08:00,1.11562,1.11681,1.11544,1.11651,1502
2022.02.28,08:30,1.11650,1.11672,1.11566,1.11586,2105
2022.02.28,09:00,1.11589,1.11871,1.11555,1.11803,4760
2022.02.28,09:30,1.11805,1.11998,1.11798,1.11892,4678
2022.02.28,10:00,1.11899,1.11963,1.11647,1.11749,4760
2022.02.28,10:30,1.11747,1.11841,1.11640,1.11787,3778
2022.02.28,11:00,1.11786,1.11841,1.11649,1.11649,3521
2022.02.28,11:30,1.11649,1.11851,1.11649,1.11776,3232
2022.02.28,12:00,1.11774,1.11910,1.11774,1.11909,2840
2022.02.28,12:30,1.11911,1.12323,1.11798,1.12289,3707
2022.02.28,13:00,1.12283,1.12288,1.12067,1.12103,3516
2022.02.28,13:30,1.12099,1.12110,1.11891,1.11989,2844
2022.02.28,14:00,1.11991,1.12058,1.11910,1.12046,2604
2022.02.28,14:30,1.12047,1.12079,1.11924,1.11924,3067
2022.02.28,15:00,1.11926,1.12000,1.11792,1.11819,3258
2022.02.28,15:30,1.11824,1.12166,1.11823,1.12124,4141
2022.02.28,16:00,1.12130,1.12156,1.12047,1.12127,2863
2022.02.28,16:30,1.12126,1.12296,1.12099,1.12218,4102
2022.02.28,17:00,1.12218,1.12361,1.12132,1.12150,4259
2022.02.28,17:30,1.12146,1.12355,1.12005,1.12315,5306
2022.02.28,18:00,1.12309,1.12465,1.12171,1.12442,4628
2022.02.28,18:30,1.12443,1.12444,1.12168,1.12242,3912
2022.02.28,19:00,1.12242,1.12284,1.12070,1.12087,2826
2022.02.28,19:30,1.12085,1.12090,1.11971,1.12048,2216
2022.02.28,20:00,1.12047,1.12109,1.12036,1.12075,1839
2022.02.28,20:30,1.12077,1.12159,1.12075,1.12148,1720
2022.02.28,21:00,1.12150,1.12150,1.12036,1.12067,1826
2022.02.28,21:30,1.12066,1.12236,1.12048,1.12225,1567
2022.02.28,22:00,1.12223,1.12230,1.12089,1.12131,1849
2022.02.28,22:30,1.12125,1.12158,1.12098,1.12105,1922
2022.02.28,23:00,1.12102,1.12162,1.12099,1.12160,370
2022.02.28,23:30,1.12161,1.12198,1.12161,1.12183,221
2022.03.01,00:00,1.12184,1.12189,1.12165,1.12187,46
2022.03.01,00:30,1.12182,1.12195,1.12175,1.12185,169
2022.03.01,01:00,1.12185,1.12187,1.12145,1.12180,484
2022.03.01,01:30,1.12180,1.12193,1.12144,1.12144,209
2022.03.01,02:00,1.12145,1.12147,1.12072,1.12116,394
2022.03.01,02:30,1.12115,1.12143,1.12054,1.12056,668
2022.03.01,03:00,1.12058,1.12083,1.12030,1.12083,615
2022.03.01,03:30,1.12085,1.12103,1.12017,1.12020,827
2022.03.01,04:00,1.12019,1.12053,1.11930,1.11972,876
2022.03.01,04:30,1.11973,1.11988,1.11952,1.11963,725
2022.03.01,05:00,1.11964,1.12011,1.11941,1.11993,734
2022.03.01,05:30,1.11996,1.12001,1.11921,1.11921,579
2022.03.01,06:00,1.11920,1.11974,1.11907,1.11963,465
2022.03.01,06:30,1.11964,1.11997,1.11950,1.11963,587
2022.03.01,07:00,1.11962,1.12030,1.11957,1.12001,618
2022.03.01,07:30,1.11999,1.12011,1.11937,1.11960,590
2022.03.01,08:00,1.11961,1.12000,1.11944,1.11983,745
2022.03.01,08:30,1.11984,1.12077,1.11967,1.12058,936
2022.03.01,09:00,1.12059,1.12240,1.12049,1.12194,2483
2022.03.01,09:30,1.12192,1.12299,1.12147,1.12296,2613
2022.03.01,10:00,1.12296,1.12330,1.12117,1.12129,3355
2022.03.01,10:30,1.12127,1.12267,1.12116,1.12264,2854
2022.03.01,11:00,1.12266,1.12296,1.12202,1.12222,2491
2022.03.01,11:30,1.12221,1.12223,1.11898,1.11962,4029
2022.03.01,12:00,1.11962,1.11985,1.11720,1.11722,3735
2022.03.01,12:30,1.11723,1.11865,1.11660,1.11813,3826
2022.03.01,13:00,1.11811,1.11824,1.11730,1.11809,3536
2022.03.01,13:30,1.11814,1.11861,1.11737,1.11755,2711
2022.03.01,14:00,1.11754,1.11804,1.11687,1.11765,2627
2022.03.01,14:30,1.11764,1.11773,1.11558,1.11609,2928
2022.03.01,15:00,1.11611,1.11700,1.11402,1.11498,3909
2022.03.01,15:30,1.11502,1.11686,1.11496,1.11601,3504
2022.03.01,16:00,1.11602,1.11618,1.11429,1.11517,3698
2022.03.01,16:30,1.11519,1.11601,1.11422,1.11492,4637
2022.03.01,17:00,1.11499,1.11511,1.11280,1.11394,5405
2022.03.01,17:30,1.11395,1.11448,1.11315,1.11401,5069
2022.03.01,18:00,1.11403,1.11441,1.11077,1.11158,4046
2022.03.01,18:30,1.11157,1.11164,1.10989,1.11030,4608
2022.03.01,19:00,1.11032,1.11081,1.10896,1.11028,3760
2022.03.01,19:30,1.11029,1.11261,1.11021,1.11088,3538
2022.03.01,20:00,1.11088,1.11130,1.10982,1.11004,2944
2022.03.01,20:30,1.11004,1.11258,1.10997,1.11225,3689
2022.03.01,21:00,1.11219,1.11241,1.11131,1.11218,2167
2022.03.01,21:30,1.11219,1.11349,1.11186,1.11221,2358
2022.03.01,22:00,1.11222,1.11324,1.11164,1.11209,2305
2022.03.01,22:30,1.11206,1.11329,1.11167,1.11297,2410
2022.03.01,23:00,1.11300,1.11379,1.11255,1.11268,455
2022.03.01,23:30,1.11267,1.11302,1.11217,1.11253,416
2022.03.02,00:00,1.11246,1.11269,1.11199,1.11230,74
2022.03.02,00:30,1.11226,1.11248,1.11168,1.11187,250
2022.03.02,01:00,1.11189,1.11272,1.11162,1.11269,381
2022.03.02,01:30,1.11270,1.11344,1.11268,1.11317,568
2022.03.02,02:00,1.11314,1.11335,1.11217,1.11279,624
2022.03.02,02:30,1.11276,1.11293,1.11237,1.11264,670
2022.03.02,03:00,1.11265,1.11312,1.11228,1.11302,631
2022.03.02,03:30,1.11300,1.11357,1.11247,1.11280,708
2022.03.02,04:00,1.11281,1.11317,1.11111,1.11170,666
2022.03.02,04:30,1.11171,1.11280,1.11164,1.11252,815
2022.03.02,05:00,1.11253,1.11288,1.11184,1.11185,511
